episode,step,speed,raw_policy_throttle,raw_policy_brake,policy_throttle,policy_brake,final_throttle,final_brake,raw_pedal,applied_pedal,front_gap,min_ttc,shield_ttc,dsafe_d,ttc_shield_fired,dsafe_active
0,131,5.3763,0.7725,0.0907,0.6099,0.0,0.6099,0.0,0.6818,0.6099,0.0,1.0,nan,nan,0,0
0,132,5.5773,0.8977,0.0213,0.7826,0.0,0.7826,0.0,0.8764,0.7826,0.0,1.0,nan,nan,0,0
0,133,5.8606,0.4268,0.0803,0.5691,0.0,0.5691,0.0,0.3465,0.5691,0.0,1.0,nan,nan,0,0
0,134,6.0507,0.0728,0.0523,0.2713,0.0,0.2713,0.0,0.0205,0.2713,0.0,1.0,nan,nan,0,0
0,135,6.0893,0.1034,0.0945,0.1706,0.0,0.1706,0.0,0.0089,0.1706,0.0,1.0,nan,nan,0,0
0,136,6.0558,0.3665,0.0724,0.2881,0.0,0.2881,0.0,0.2941,0.2881,0.0,1.0,nan,nan,0,0
0,137,6.0541,0.8799,0.0634,0.6432,0.0,0.6432,0.0,0.8165,0.6432,0.0,1.0,nan,nan,0,0
0,138,6.2123,0.8738,0.0277,0.7816,0.0,0.7816,0.0,0.8461,0.7816,0.0,1.0,nan,nan,0,0
0,139,6.5066,0.686,0.0333,0.7242,0.0,0.7242,0.0,0.6527,0.7242,0.0,1.0,nan,nan,0,0
0,140,6.8873,0.8918,0.0773,0.8248,0.0,0.8248,0.0,0.8145,0.8248,0.0,1.0,nan,nan,0,0
0,141,7.3204,0.7103,0.2159,0.7561,0.0,0.7561,0.0,0.4944,0.7561,0.0,1.0,nan,nan,0,0
0,142,7.5497,0.257,0.4582,0.0,0.4582,0.0,0.4582,-0.2012,-0.4582,0.0,1.0,nan,nan,0,0
0,143,7.4002,0.0695,0.5961,0.0,0.5961,0.0,0.5961,-0.5266,-0.5961,0.0,1.0,nan,nan,0,0
0,144,7.1284,0.0954,0.3854,0.0,0.3854,0.0,0.3854,-0.29,-0.3854,0.0,1.0,nan,nan,0,0
0,145,6.8308,0.0736,0.1613,0.0,0.1613,0.0,0.1613,-0.0877,-0.1613,0.0,1.0,nan,nan,0,0
0,146,6.5075,0.1082,0.2088,0.0,0.2088,0.0,0.2088,-0.1006,-0.2088,0.0,1.0,nan,nan,0,0
0,147,6.1764,0.5106,0.2248,0.3063,0.0,0.3063,0.0,0.2858,0.3063,0.0,1.0,nan,nan,0,0
0,148,5.9149,0.7387,0.0767,0.5657,0.0,0.5657,0.0,0.662,0.5657,0.0,1.0,nan,nan,0,0
0,149,5.7906,0.3281,0.0626,0.4231,0.0,0.4231,0.0,0.2655,0.4231,0.0,1.0,nan,nan,0,0
0,150,5.7445,0.4036,0.0834,0.4114,0.0,0.4114,0.0,0.3202,0.4114,0.0,1.0,nan,nan,0,0
0,151,5.723,0.2219,0.075,0.2977,0.0,0.2977,0.0,0.1469,0.2977,0.0,1.0,nan,nan,0,0
0,152,5.6762,0.1571,0.0733,0.2134,0.0,0.2134,0.0,0.0838,0.2134,0.0,1.0,nan,nan,0,0
